Asset Symbol,Asset Class,Asset Sub-Class,Asset Sector
CVY,Equity,US - All Cap Equities,
FLGB,Equity,Global - Developed Markets Equities - Canada & Europe,
TPHD,Equity,US - All Cap Equities,
TIPZ,Bond,US - Inflation-Protected Bonds,
OCIO,Multi-Asset,Diversified Portfolio,
RVNU,Bond,US - Municipal Bonds,
SIXA,Equity,US - Large Cap Blend Equities,
PLW,Bond,US - Long Term Government Bonds,
HTAB,Bond,US - Total Bond Market,
RIGS,Bond,US - High Yield Bonds,
GNOM,Equity,Global - Global Equities,Healthcare
RXL,Leveraged Equity,Leveraged Equities,Healthcare
SCHJ,Bond,US - Corporate Bonds,
TMV,Inverse Debt,Inverse Bonds,
QQQN,Equity,US - Mid Cap Growth Equities,
AFIF,Bond,US - Total Bond Market,
HYZD,Bond,US - High Yield Bonds,
BLES,Equity,US - Large Cap Blend Equities,
ESG,Equity,US - Large Cap Growth Equities,
ESGA,Equity,US - Large Cap Growth Equities,
WFHY,Bond,US - Corporate Bonds,
WTMF,Alternatives,Hedge Fund,
XSVM,Equity,US - Small Cap Value Equities,
PPTY,Real Estate,US - Real Estate,Real Estate
FDMO,Equity,US - Large Cap Growth Equities,
BNDC,Bond,US - Total Bond Market,
PJUL,Equity,US - Large Cap Blend Equities,
FCG,Equity,US - All Cap Equities,Energy
PZT,Bond,US - Municipal Bonds,
BSEP,Equity,US - Large Cap Blend Equities,
PSL,Equity,US - All Cap Equities,Consumer Staples
RFCI,Bond,US - Total Bond Market,
FUMB,Bond,US - Municipal Bonds,
HSRT,Bond,US - Short Term Government Bonds,
PUTW,Multi-Asset,Hedge Fund,
SRTY,Inverse Equity,Inverse Equities,
FTXO,Equity,US - All Cap Equities,Financials
QMOM,Equity,US - All Cap Equities,
MBSD,Bond,Mortgage Backed Securities,
XMHQ,Equity,US - Mid Cap Growth Equities,
BJAN,Equity,US - Large Cap Blend Equities,
IETC,Equity,US - All Cap Equities,Technology
XLSR,Equity,US - Large Cap Growth Equities,
FLMB,Bond,US - Total Bond Market,
CSB,Equity,US - Small Cap Value Equities,
SIXL,Equity,US - All Cap Equities,
FCAL,Bond,US - Municipal Bonds,
XOUT,Equity,US - Large Cap Growth Equities,
SOXS,Inverse Equity,Inverse Equities,Technology
PJUN,Equity,US - Large Cap Blend Equities,
GDMA,Multi-Asset,Hedge Fund,
SCHQ,Bond,US - Long Term Government Bonds,
FGM,Equity,Global - Developed Markets Equities - Canada & Europe,
ISMD,Equity,US - Small Cap Blend Equities,
UDN,Currency,Currency,
UOCT,Equity,US - Large Cap Blend Equities,
FSZ,Equity,Global - Developed Markets Equities - Canada & Europe,
IFRA,Equity,US - All Cap Equities,Utilities
EFIV,Equity,US - Large Cap Growth Equities,
DYNF,Equity,US - Large Cap Growth Equities,
AGZD,Bond,US - Total Bond Market,
IIGD,Bond,US - Corporate Bonds,
TDV,Equity,US - All Cap Equities,Technology
TDVG,Equity,US - Large Cap Growth Equities,
IBDU,Bond,US - Corporate Bonds,
QLC,Equity,US - Large Cap Growth Equities,
UJAN,Equity,US - Large Cap Blend Equities,
EWMC,Equity,US - Small Cap Blend Equities,
KNG,Equity,US - Large Cap Blend Equities,
QABA,Equity,US - All Cap Equities,Financials
SPVU,Equity,US - Large Cap Value Equities,
MMTM,Equity,US - Large Cap Growth Equities,
RESP,Equity,US - Large Cap Growth Equities,
LSAF,Equity,US - All Cap Equities,
BOCT,Equity,US - Large Cap Blend Equities,
NUAG,Bond,US - Total Bond Market,
RECS,Equity,US - Large Cap Growth Equities,
SYLD,Equity,US - All Cap Equities,
PSR,Real Estate,US - Real Estate,Real Estate
URE,Real Estate,Leveraged Real Estate,Real Estate
TAXF,Bond,US - Municipal Bonds,
FFIU,Bond,US - Corporate Bonds,
HYHG,Bond,US - High Yield Bonds,
IEZ,Equity,US - All Cap Equities,Energy
USDU,Currency,Currency,
AMUB,Equity,US - Large Cap Blend Equities,Energy
FDIV,Multi-Asset,US - All Cap Equities,
TWM,Inverse Equity,Inverse Equities,
VCEB,Bond,US - Corporate Bonds,
USXF,Equity,US - Large Cap Growth Equities,
MIDU,Leveraged Equity,Leveraged Equities,
JVAL,Equity,US - Large Cap Value Equities,
VIXM,Volatility,Volatility,
RFFC,Equity,US - Large Cap Growth Equities,
RISN,Multi-Asset,Diversified Portfolio,
FSMB,Bond,US - Municipal Bonds,
FRI,Real Estate,US - Real Estate,Real Estate
JSML,Equity,US - Small Cap Growth Equities,
FAB,Equity,US - All Cap Equities,
BJUL,Equity,US - Large Cap Blend Equities,
EDOW,Equity,US - Large Cap Blend Equities,
DWUS,Equity,Diversified Portfolio,
MMIT,Bond,US - Short Term Government Bonds,
NUHY,Bond,US - Corporate Bonds,
AIRR,Equity,US - All Cap Equities,Industrials
OSCV,Equity,US - Small Cap Growth Equities,
EQWL,Equity,US - Large Cap Blend Equities,
PBJ,Equity,US - All Cap Equities,Consumer Staples
XWEB,Equity,US - All Cap Equities,Technology
SPMO,Equity,US - Large Cap Growth Equities,
DRIP,Inverse Equity,Inverse Equities,Energy
TECS,Inverse Equity,Inverse Equities,Technology
ACSI,Equity,US - Large Cap Growth Equities,
USEP,Equity,US - Large Cap Blend Equities,
CSD,Equity,US - All Cap Equities,
MFUS,Equity,US - Large Cap Growth Equities,
